Sensor, Electrode, MCU Pin, Package Pin
BTN02,RX00,CAP0.0,16
BTN03,RX00,CAP0.0,16
BTN02,TX00,CAP0.1,17
BTN02,TX01,CAP0.2,18
BTN02,RX01,CAP1.0,20
BTN03,RX01,CAP1.0,20
BTN02,TX02,CAP1.1,21
BTN02,TX03,CAP1.2,22
BTN01,RX00,CAP2.0,25
BTN01,TX00,CAP2.1,26
BTN02,TX04,CAP2.1,26
BTN01,TX01,CAP2.2,27
BTN03,TX00,CAP2.2,27
BTN01,RX01,CAP3.0,29
BTN03,TX01,CAP3.1,30
BTN03,TX02,CAP3.2,31
