Sensor, Electrode, MCU Pin, Package Pin
BTN00,RX00,CAP0.0,16
BTN00,TX00,CAP0.1,17
BTN00,TX01,CAP0.2,18
BTN00,RX01,CAP1.0,20
BTN00,TX02,CAP1.1,21
BTN00,TX03,CAP1.2,22
BTN01,RX00,CAP2.0,25
BTN00,TX04,CAP2.1,26
BTN01,TX00,CAP2.1,26
BTN00,TX05,CAP2.2,27
BTN01,TX01,CAP2.2,27
BTN01,RX01,CAP3.0,29
BTN00,TX06,CAP3.1,30
BTN00,TX07,CAP3.2,31
