Sensor, Electrode, MCU Pin, Package Pin
BTN04,RX00,CAP0.0,16
BTN03,RX00,CAP0.0,16
BTN05,RX00,CAP0.0,16
BTN03,TX00,CAP0.1,17
BTN05,TX00,CAP0.2,18
BTN04,RX01,CAP1.0,20
BTN03,RX01,CAP1.0,20
BTN05,RX01,CAP1.0,20
BTN05,TX01,CAP1.1,21
BTN05,TX02,CAP1.2,22
BTN06,RX00,CAP2.0,25
BTN05,TX03,CAP2.1,26
BTN06,TX00,CAP2.1,26
BTN03,TX01,CAP2.2,27
BTN06,TX01,CAP2.2,27
BTN06,RX01,CAP3.0,29
BTN03,TX02,CAP3.1,30
BTN04,TX00,CAP3.2,31
