Sensor, Electrode, MCU Pin, Package Pin
BTN03,RX00,CAP1.0,20
BTN02,TX00,CAP1.2,22
BTN02,RX00,CAP2.0,25
BTN02,RX01,CAP3.0,29
BTN03,TX00,CAP3.2,31
