Sensor, Electrode, MCU Pin, Package Pin
BTN01,RX00,CAP0.0,16
BTN01,TX00,CAP0.1,17
BTN01,TX01,CAP0.2,18
BTN01,RX01,CAP1.0,20
BTN01,TX02,CAP1.1,21
