Sensor, Electrode, MCU Pin, Package Pin
BTN00,RX00,CAP0.3,19
BTN00,RX01,CAP1.0,20
BTN00,RX02,CAP1.1,21
BTN01,RX00,CAP2.0,25
BTN01,RX01,CAP2.1,26
BTN01,RX02,CAP2.2,27
BTN01,RX03,CAP2.3,28
BTN01,RX04,CAP3.0,29
